0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
PR,34,"49,73","26,27","22,32","29,16",Merino,ea,"101,25",,,,,,,,,,,,,,,,
PC,5,"52,32","24,40","20,00","29,16",,,,,,,,,,,,,,,,,,,
PU,3,"45,67","25,00","25,00","25,00",,,,,,,,,,,,,,,,,,,
PS,6,"162,10","17,52","17,50","18,00",,,,,,,,,,,,,,,,,,,
CP,1101,"61,47","28,13","26,43","29,42",,,,,,,,,,,,,,,,,,,
CO,103,"62,85","28,29","26,49","29,55",,,,,,,,,,,,,,,,,,,
CR,4,"62,61","27,08","26,03","28,30",,,,,,,,,,,,,,,,,,,
CC,1,"63,44","21,47","21,47","21,47",,,,,,,,,,,,,,,,,,,
BP,5387,"74,56","26,85","24,33","28,82",,,,,,,,,,,,,,,,,,,
BO,1741,"76,72","26,89","25,71","28,50",,,,,,,,,,,,,,,,,,,
BR,150,"77,88","25,67","23,74","27,32",,,,,,,,,,,,,,,,,,,
BC,23,"77,37","24,26","20,38","29,50",,,,,,,,,,,,,,,,,,,
BU,6,"77,535","22,29","17,50","25,00",,,,,,,,,,,,,,,,,,,
BS,3,"86,93","23,46","22,00","27,60",,,,,,,,,,,,,,,,,,,
HP,3983,"86,30","26,48","26,22","26,73",,,,,,,,,,,,,,,,,,,
HO,5635,"87,81","26,68","26,22","27,84",,,,,,,,,,,,,,,,,,,
HR,926,"90,42","25,57","24,62","27,62",,,,,,,,,,,,,,,,,,,
HC,83,"92,30","21,38","20,31","24,35",,,,,,,,,,,,,,,,,,,
HU,9,"88,79","20,40","20,40","20,40",,,,,,,,,,,,,,,,,,,
HS,39,"100,17","21,45","17,94","26,58",,,,,,,,,,,,,,,,,,,
SAU,759,"136,12","20,04","16,45","24,69",,,,,,,,,,,,,,,,,,,
SAB,259,"105,29","22,53","18,48","24,96",,,,,,,,,,,,,,,,,,,
22,531,,,,,,,,,,,,,,,,,,,,,,,
these,pages,is,"up-to-date,",accurate,and,complete.,32,34,36,38,40,42,44,46,48,,,,,,,,,
28,29,30,31,32,33,34,Beef,A2,-,Sales,Price,2017,2016,,,,,,,,,,,
52,54,56,58,60,62,64,66,68,70,72,74,76,78,,,,,,,,,,,
28,29,30,31,32,33,34,Lamb,A2,-,Sales,Price,2017,2016,,,,,,,,,,,
20,22,24,26,28,,,,,,,,,,,,,,,,,,,,
A2,7,996,"278,26","46,12","45,95","44,39","46,77",Hide,Feedlot,"4,79",,,,,,,,,,,,,,
A3,1,108,"294,74","46,12","46,04","44,91","47,06",Hide,Field,"4,13",,,,,,,,,,,,,,
AB2,420,"274,91","44,88","45,85","44,32","47,97",Dorper,ea,"33,13",,,,,,,,,,,,,,,
AB3,87,"298,46","44,97","45,73","44,84","47,35",Merino,ea,"96,88",,,,,,,,,,,,,,,
B2,560,"273,20","41,79","43,14","41,99","43,99",,,,,,,,,,,,,,,,,,
B3,110,"303,42","41,26","43,08","41,92","43,99",,,,,,,,,,,,,,,,,,
C2,1,874,"266,26","40,15","41,23","39,87","43,12",,,,,,,,,,,,,,,,,
C3,722,"294,81","40,18","42,07","40,25","43,24",,,,,,,,,,,,,,,,,,
12,877,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max,,,,,,,,,,,,,,,,,,
A0,19,"12,67","67,64","66,34","60,25","70,48",,,,,,,,,,,,,,,,,,
A1,189,"14,48","78,69","70,93","68,13","78,28",,,,,,,,,,,,,,,,,,
A2,4,777,"21,11","78,73","74,33","71,07","80,25",,,,,,,,,,,,,,,,,
A3,974,"23,21","79,01","71,56","70,16","77,31",,,,,,,,,,,,,,,,,,
A4,295,"23,26","68,21","64,70","62,31","71,52",,,,,,,,,,,,,,,,,,
A5,121,"22,07","63,72","56,83","53,49","69,29",,,,,,,,,,,,,,,,,,
A6,150,"22,47","64,25","52,92","50,89","59,71",,,,,,,,,,,,,,,,,,
AB2,192,"21,89","66,70","65,34","62,88","74,78",,,,,,,,,,,,,,,,,,
AB3,3,"29,73","66,19","67,88","61,86","72,00",,,,,,,,,,,,,,,,,,
B2,58,"24,75","66,16","67,25","59,25","69,64",,,,,,,,,,,,,,,,,,
B3,5,"30,88","59,52","59,92","50,28","70,00",,,,,,,,,,,,,,,,,,
C2,393,"26,21","63,18","63,85","57,53","67,40",,,,,,,,,,,,,,,,,,
C3,86,"31,73","60,53","61,96","55,05","67,00",,,,,,,,,,,,,,,,,,
7,262,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Purch_min,Purch_max,,,,,,,,,,,,,,,,,,,
P,1,557,"52,36","24,31","22,88","25,00",,,,,,,,,,,,,,,,,,
O,108,"51,11","24,06","23,32","25,00",,,,,,,,,,,,,,,,,,,
R,11,"50,99","22,67","19,75","24,50",,,,,,,,,,,,,,,,,,,
C,5,"58,46","22,66","19,70","24,00",,,,,,,,,,,,,,,,,,,
P,1,097,"61,48","22,87","21,90","23,28",,,,,,,,,,,,,,,,,,
O,118,"61,94","23,00","22,13","23,47",,,,,,,,,,,,,,,,,,,
R,26,"60,78","23,00","21,20","23,91",,,,,,,,,,,,,,,,,,,
C,1,"64,10","16,00","16,00","16,00",,,,,,,,,,,,,,,,,,,
S,"163,40","18,00","18,00","18,00",,,,,,,,,,,,,,,,,,,,
P,7,619,"74,62","22,35","21,39","23,98",,,,,,,,,,,,,,,,,,
O,2,680,"77,20","22,65","21,22","24,68",,,,,,,,,,,,,,,,,,
R,176,"77,83","21,33","20,26","23,12",,,,,,,,,,,,,,,,,,,
C,44,"78,61","21,52","17,26","24,50",,,,,,,,,,,,,,,,,,,
U,4,"76,63","17,29","16,25","21,00",,,,,,,,,,,,,,,,,,,
S,4,"85,90","14,14","12,90","16,25",,,,,,,,,,,,,,,,,,,
P,3,836,"85,02","21,77","21,31","22,08",,,,,,,,,,,,,,,,,,
O,5,616,"87,42","21,37","20,97","21,87",,,,,,,,,,,,,,,,,,
R,929,"88,33","20,68","18,81","25,46",,,,,,,,,,,,,,,,,,,
C,43,"90,63","18,92","16,85","21,65",,,,,,,,,,,,,,,,,,,
U,11,"84,45","21,44","15,88","24,00",,,,,,,,,,,,,,,,,,,
S,90,"101,42","19,56","18,88","21,35",,,,,,,,,,,,,,,,,,,
1,007,"135,98","16,76","15,14","18,44",,,,,,,,,,,,,,,,,,,
24,983,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,,,,,,,,,,,,,,,,,,,,,,,,
PIGS,,,,,,,,,,,,,,,,,,,,,,,,
Average20,-,"55,99",kg,56,-,"64,99",kgWeighted,20%,,,,,,,,,,,,,,,,
Weighted,"20%4545,54646,54747,548",,,,,,,,,,,,,,,,,,,,,,,
28,29,30,31,32,33,34Beef,A2,-Sales,Price,2018,2017,,,,,,,,,,,,,
28,29,30,31,32,33,34Lamb,A2,-Sales,Price,2018,2017,,,,,,,,,,,,,
202122232425262728,,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max,From,2016/08/22,To,2016/08/28,,,,,,,,,,,,,,
Mass,Price,Price,min,max,Beef,A2,-,Sales,Price,,,,,,,,,,,,,,,
CATTLE,,,,,,,,,,,,,,,,,,,,,,,,
A2,12647,258.87,38.31,37.82,36.00,41.11,,,,,,,,,,,,,,,,,,
A3,1684,275.04,37.79,37.85,36.50,40.00,,,,,,,,,,,,,,,,,,
AB2,565,266.96,36.68,36.24,31.00,40.35,,,,,,,,,,,,,,,,,,
AB3,117,290.63,36.24,36.28,32.00,39.80,,,,,,,,,,,,,,,,,,
B2,486,251.37,32.94,33.70,30.00,40.35,,,,,,,,,,,,,,,,,,
B3,102,291.39,33.31,34.27,30.25,40.35,,,,,,,,,,,,,,,,,,
C2,2050,252.28,31.38,31.62,28.00,34.50,,,,,,,,,,,,,,,,,,
C3,497,286.29,31.43,31.98,28.00,34.50,,,,,,,,,,,,,,,,,,
18,148,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,Lamb,A2,-,Sales,Price,,,,,,,,,,,,,,,,,,,
A0,261,14.33,51.99,52.93,38.00,55.21,,,,,,,,,,,,,,,,,,
A1,799,17.00,61.60,62.07,59.48,68.00,,,,,,,,,,,,,,,,,,
A2,10691,20.96,59.56,63.68,58.00,66.02,,,,,,,,,,,,,,,,,,
A3,1690,24.13,58.07,62.60,58.00,64.74,,,,,,,,,,,,,,,,,,
A4,325,25.55,51.77,55.49,53.41,59.91,,,,,,,,,,,,,,,,,,
A5,76,25.16,51.13,54.93,42.05,62.00,,,,,,,,,,,,,,,,,,
A6,96,27.32,50.40,55.64,48.39,59.74,,,,,,,,,,,,,,,,,,
AB2,114,24.47,53.41,56.63,49.36,67.19,,,,,,,,,,,,,,,,,,
AB3,31,27.17,55.83,57.62,44.08,69.00,,,,,,,,,,,,,,,,,,
B2,156,25.77,50.46,52.62,42.00,56.86,,,,,,,,,,,,,,,,,,
B3,25,29.26,49.98,52.18,47.00,57.56,,,,,,,,,,,,,,,,,,
C2,499,25.81,50.47,51.16,44.77,55.00,,,,,,,,,,,,,,,,,,
C3,101,28.63,48.96,48.84,40.00,55.00,,,,,,,,,,,,,,,,,,
14,864,,,,,,,,,,,,,,,,,,,,,,,
Units,Avg_mass,Avg_purch,Purch_min,Purch_maxAvg,,,,,,,,,,,,,,,,,,,,
Price,Min,Max,,,,,,,,,,,,,,,,,,,,,,
BP,5635,74.87,23.56,22.00,25.50,,,,,,,,,,,,,,,,,,,
BO,2109,76.16,23.46,22.00,25.00,,,,,,,,,,,,,,,,,,,
BR,326,75.97,22.58,21.00,25.00,,,,,,,,,,,,,,,,,,,
BC,20,75.44,20.33,19.00,22.50,,,,,,,,,,,,,,,,,,,
BU,8,71.99,20.65,17.95,22.50,,,,,,,,,,,,,,,,,,,
BS,1,67.30,17.00,17.00,17.00,,,,,,,,,,,,,,,,,,,
PP,1882,53.18,24.53,19.50,26.00,,,,,,,,,,,,,,,,,,,
PO,85,51.41,24.29,19.50,26.00,,,,,,,,,,,,,,,,,,,
PR,16,50.22,23.51,22.00,26.00,,,,,,,,,,,,,,,,,,,
PC,2,53.20,24.50,24.50,24.50,,,,,,,,,,,,,,,,,,,
PU,3,61.50,24.00,24.00,24.00,,,,,,,,,,,,,,,,,,,
PS,2,32.25,23.00,23.00,23.00,,,,,,,,,,,,,,,,,,,
SAB,794,106.10,12.65,10.00,17.30,,,,,,,,,,,,,,,,,,,
HP,2299,88.99,22.30,21.00,32.80,,,,,,,,,,,,,,,,,,,
HO,3439,91.00,22.14,21.00,23.50,Hide,Feedlot,15.50,,,,,,,,,,,,,,,,
HR,527,91.99,21.65,15.00,22.40,Veldt,15.41,,,,,,,,,,,,,,,,,
HC,29,93.87,20.28,11.40,21.00,Dorper,ea,35.82,,,,,,,,,,,,,,,,
HU,3,90.03,19.76,17.00,21.00,Merino,ea,76.98,,,,,,,,,,,,,,,,
CP,458,60.55,23.26,22.10,26.00,,,,,,,,,,,,,,,,,,,
CO,575,76.94,23.84,22.10,26.00,,,,,,,,,,,,,,,,,,,
CR,162,82.31,23.61,22.80,26.00,,,,,,,,,,,,,,,,,,,
CC,7,86.86,23.50,23.50,23.50,,,,,,,,,,,,,,,,,,,
CS,1,97.80,23.50,23.50,23.50,,,,,,,,,,,,,,,,,,,
SAS,580,153.85,15.05,12.00,17.30,,,,,,,,,,,,,,,,,,,
18,963,,,,,,,,,,,,,,,,,,,,,,,
24252627282930313233342016,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
45.547.549.551.553.555.557.559.561.563.565.5,,,,,,,,,,,,,,,,,,,,,,,,
24252627282930313233342016,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,
202122232425,,,,,,,,,,,,,,,,,,,,,,,,
24252627282930313233342016,,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max2019/08/19,To,2019/08/25,,,,,,,,,,,,,,,,
A2,9594,"274,59","44,76","46,14","45,42","47,67",Hide,Feedlot,Weighted,"1,81",,,,,,,,,,,,,,
A3,820,"296,11","45,31","46,81","45,56","47,87",Hide,Field,Average,"1,49",,,,,,,,,,,,,,
AB2,566,"284,16","43,81","42,04","43,92","46,50",Dorper,ea,"25,83",,,,,,,,,,,,,,,
AB3,91,"303,64","44,52","44,90","43,67","46,36",Merino,ea,"35,98",,,,,,,,,,,,,,,
B2,357,"272,11","38,71","41,72","39,07","45,38",,,,,,,,,,,,,,,,,,
B3,85,"292,68","39,19","41,22","37,93","46,10",,,,,,,,,,,,,,,,,,
C2,1714,"266,74","37,10","40,09","37,02","42,50",,,,,,,,,,,,,,,,,,
C3,500,"300,41","37,25","39,99","37,18","42,50",,,,,,,,,,,,,,,,,,
13,727,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max,,,,,,,,,,,,,,,,,,
A0,20,"14,37","51,51","61,76","53,68","66,00",,,,,,,,,,,,,,,,,,
A1,192,"14,77","67,55","66,07","55,95","68,84",,,,,,,,,,,,,,,,,,
A2,6919,"22,40","66,32","70,48","68,21","73,08",,,,,,,,,,,,,,,,,,
A3,848,"24,92","67,71","70,02","69,33","70,61",,,,,,,,,,,,,,,,,,
A4,186,"26,06","62,42","63,55","61,92","65,56",,,,,,,,,,,,,,,,,,
A5,29,"28,37","64,68","61,98","57,20","62,98",,,,,,,,,,,,,,,,,,
A6,40,"27,42","61,74","59,96","55,20","62,00",,,,,,,,,,,,,,,,,,
AB2,238,"21,85","55,74","62,25","60,52","63,02",,,,,,,,,,,,,,,,,,
AB3,5,"22,56","55,90","61,07","52,00","65,00",,,,,,,,,,,,,,,,,,
B2,475,"23,52","53,61","57,20","54,71","58,10",,,,,,,,,,,,,,,,,,
B3,19,"24,67","52,94","52,27","48,00","55,60",,,,,,,,,,,,,,,,,,
C2,1238,"24,07","49,64","53,88","51,89","55,00",,,,,,,,,,,,,,,,,,
C3,151,"26,85","50,03","52,95","49,12","55,00",,,,,,,,,,,,,,,,,,
10,360,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Purch_min,Purch_max,,,,,,,,,,,,,,,,,,,
P,1900,"49,25","27,30","24,82","28,00",,,,,,,,,,,,,,,,,,,
O,116,"49,50","25,32","20,71","28,00",,,,,,,,,,,,,,,,,,,
R,15,"48,69","22,97","19,22","27,50",,,,,,,,,,,,,,,,,,,
C,5,"51,32","22,38","17,85","27,00",,,,,,,,,,,,,,,,,,,
U,2,"54,60","21,16","21,00","21,30",,,,,,,,,,,,,,,,,,,
S,"456,03","24,13","21,30","27,00",,,,,,,,,,,,,,,,,,,,
P,1083,"60,94","26,28","25,02","28,04",,,,,,,,,,,,,,,,,,,
O,101,"60,87","25,75","25,08","27,00",,,,,,,,,,,,,,,,,,,
R,8,"60,94","23,40","21,50","25,10",,,,,,,,,,,,,,,,,,,
U,1,"57,00","20,00","20,00","20,00",,,,,,,,,,,,,,,,,,,
S,"259,00","19,00","19,00","19,00",,,,,,,,,,,,,,,,,,,,
P,8950,"75,32","25,93","24,31","27,32",,,,,,,,,,,,,,,,,,,
O,2101,"76,20","25,85","24,84","26,89",,,,,,,,,,,,,,,,,,,
R,257,"75,75","25,21","24,38","25,49",,,,,,,,,,,,,,,,,,,
C,20,"74,78","21,16","18,00","24,38",,,,,,,,,,,,,,,,,,,
U,2,"73,20","23,25","21,30","25,00",,,,,,,,,,,,,,,,,,,
S,"468,13","22,25","21,30","25,00",,,,,,,,,,,,,,,,,,,,
P,5019,"85,80","24,90","23,89","26,21",,,,,,,,,,,,,,,,,,,
O,6551,"87,52","25,16","23,90","26,41",,,,,,,,,,,,,,,,,,,
R,978,"89,04","24,79","23,71","25,76",,,,,,,,,,,,,,,,,,,
C,35,"89,44","20,96","19,05","22,33",,,,,,,,,,,,,,,,,,,
U,1,"97,58","19,01","19,01","19,01",,,,,,,,,,,,,,,,,,,
S,"6298,26","25,38","19,00","25,48",,,,,,,,,,,,,,,,,,,,
"1724,00","124,28","19,83","15,99","23,51",,,,,,,,,,,,,,,,,,,,
28,941,,,,,,,,,,,,,,,,,,,,,,,
PIGS,,,,,,,,,,,,,,,,,,,,,,,,
Weighted,20%56,-,"64,99",kg,65,-,"79,99",kg,80,-,"99,99",kg404244464850,,,,,,,,,,,,
28,29,30,31,32,33,34Beef,A2,-Sales,Price,2019,2018,,,,,,,,,,,,,
69717375777981,,,,,,,,,,,,,,,,,,,,,,,,
28,29,30,31,32,33,34Lamb,A2,-Sales,Price,2019,2018,,,,,,,,,,,,,
2021222324252627,,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max,From,2017/08/28,To,2017/09/03,,,,,,,,,,,,,,
Mass,Price,Price,min,max,,,,,,,,,,,,,,,,,,,,
CATTLE,,,,,,,,,,,,,,,,,,,,,,,,
A2,11603,"260,52","46,95","45,20","38,19","48,21",,,,,,,,,,,,,,,,,,
A3,1201,"273,67","47,01","46,22","44,44","48,34",,,,,,,,,,,,,,,,,,
AB2,768,"264,47","45,81","45,82","42,76","47,98",,,,,,,,,,,,,,,,,,
AB3,115,"281,56","45,73","45,07","42,91","47,62",,,,,,,,,,,,,,,,,,
B2,604,"252,78","42,76","42,85","40,31","44,51",,,,,,,,,,,,,,,,,,
B3,193,"267,67","42,76","38,89","41,93","44,30",,,,,,,,,,,,,,,,,,
C2,1610,"261,31","41,32","40,91","37,71","42,48",,,,,,,,,,,,,,,,,,
C3,707,"281,38","41,40","41,31","38,45","42,51",,,,,,,,,,,,,,,,,,
16,801,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,,,,,,,,,,,,,,,,,,,,,,,,
A0,278,"13,75","67,89","64,51","56,62","67,14",,,,,,,,,,,,,,,,,,
A1,1487,"15,80","77,97","76,05","69,20","78,68",,,,,,,,,,,,,,,,,,
A2,11067,"19,53","79,33","74,52","67,20","81,29",,,,,,,,,,,,,,,,,,
A3,1544,"22,11","79,72","73,45","66,99","83,71",,,,,,,,,,,,,,,,,,
A4,310,"23,98","72,19","64,92","58,55","78,57",,,,,,,,,,,,,,,,,,
A5,53,"23,86","67,75","67,32","50,58","85,36",,,,,,,,,,,,,,,,,,
A6,51,"24,07","66,42","62,16","49,99","69,94",,,,,,,,,,,,,,,,,,
AB2,305,"23,40","69,71","69,35","61,07","73,48",,,,,,,,,,,,,,,,,,
AB3,36,"27,09","68,12","63,61","56,61","72,02",,,,,,,,,,,,,,,,,,
B2,477,"24,63","64,06","66,00","61,63","71,47",,,,,,,,,,,,,,,,,,
B3,84,"28,59","64,02","64,60","60,12","68,81",,,,,,,,,,,,,,,,,,
C2,1951,"24,69","60,52","62,08","57,67","66,25",,,,,,,,,,,,,,,,,,
C3,319,"27,44","62,41","60,77","52,67","65,37",,,,,,,,,,,,,,,,,,
17,962,,,,,,,,,,,,,,,,,,,,,,,
PIGS,Units,Avg,Avg,Purch,Purch,Purch,,,,,,,,,,,,,,,,,,
Mass,Price,Min,Max,Hide,Feedlot,"14,30",,,,,,,,,,,,,,,,,,
PP,1935,"53,54","26,58","25,36","29,97",Veldt,"14,31",,,,,,,,,,,,,,,,,
PO,129,"52,12","26,68","24,84","29,54",Dorper,ea,"41,82",,,,,,,,,,,,,,,,
PR,31,"45,40","25,40","21,67","27,75",Merino,ea,"100,83",,,,,,,,,,,,,,,,
PC,6,"47,59","25,86","20,00","29,00",,,,,,,,,,,,,,,,,,,
PS,6,"155,73","17,66","17,50","20,50",,,,,,,,,,,,,,,,,,,
CP,694,"60,68","28,24","26,66","29,47",,,,,,,,,,,,,,,,,,,
CO,59,"61,20","27,39","26,52","29,00",,,,,,,,,,,,,,,,,,,
CR,4,"61,33","26,19","26,00","26,26",,,,,,,,,,,,,,,,,,,
CC,2,"63,09","20,95","20,50","21,47",,,,,,,,,,,,,,,,,,,
BP,5540,"74,19","27,03","24,13","30,19",,,,,,,,,,,,,,,,,,,
BO,1650,"76,24","27,15","25,80","29,28",,,,,,,,,,,,,,,,,,,
BR,160,"78,26","25,90","24,04","27,55",,,,,,,,,,,,,,,,,,,
BC,27,"76,82","24,71","21,03","30,00",,,,,,,,,,,,,,,,,,,
BU,6,"71,01","24,37","19,50","25,50",,,,,,,,,,,,,,,,,,,
BS,17,"91,79","23,28","20,00","24,50",,,,,,,,,,,,,,,,,,,
HP,2647,"86,61","25,80","22,03","27,27",,,,,,,,,,,,,,,,,,,
HO,3994,"88,60","26,94","26,37","28,92",,,,,,,,,,,,,,,,,,,
HR,874,"90,22","25,72","25,07","27,62",,,,,,,,,,,,,,,,,,,
HC,42,"89,82","21,61","20,98","23,12",,,,,,,,,,,,,,,,,,,
HU,7,"87,13","20,40","20,40","20,40",,,,,,,,,,,,,,,,,,,
HS,3,"95,40","18,50","18,50","18,50",,,,,,,,,,,,,,,,,,,
SAU,551,"131,97","20,31","16,01","24,78",,,,,,,,,,,,,,,,,,,
SAB,355,"104,42","21,84","10,41","24,81",,,,,,,,,,,,,,,,,,,
18,739,,,,,,,,,,,,,,,,,,,,,,,
pages,is,"up-to-date,",accurate,and,complete.,32,34,36,38,40,42,44,46,48,,,,,,,,,,
29,30,31,32,33,34,35,Beef,A2,-,Sales,Price,2017,2016,,,,,,,,,,,
52,54,56,58,60,62,64,66,68,70,72,74,76,78,,,,,,,,,,,
29,30,31,32,33,34,35,Lamb,A2,-,Sales,Price,2017,2016,,,,,,,,,,,
20,22,24,26,28,,,,,,,,,,,,,,,,,,,,
A2,9,737,"275,88","46,17","46,63","45,89","47,99",Hide,Feedlot,"4,95",,,,,,,,,,,,,,
A3,1,537,"289,95","46,16","46,64","45,94","48,06",Hide,Field,"4,15",,,,,,,,,,,,,,
AB2,520,"279,71","45,09","45,32","43,73","46,47",Dorper,ea,"35,45",,,,,,,,,,,,,,,
AB3,97,"294,97","44,88","45,44","43,92","46,90",Merino,ea,"95,18",,,,,,,,,,,,,,,
B2,413,"262,55","42,09","43,29","42,20","44,45",,,,,,,,,,,,,,,,,,
B3,137,"301,66","40,93","43,27","42,60","44,49",,,,,,,,,,,,,,,,,,
C2,1,884,"264,34","40,18","41,01","39,94","42,51",,,,,,,,,,,,,,,,,
C3,693,"292,82","39,84","41,65","40,35","42,50",,,,,,,,,,,,,,,,,,
15,018,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_Selling,Selling_Min,Selling_Max,,,,,,,,,,,,,,,,,,
A0,75,"11,75","55,51","59,28","50,00","72,47",,,,,,,,,,,,,,,,,,
A1,606,"14,09","79,46","75,58","66,91","81,07",,,,,,,,,,,,,,,,,,
A2,8,113,"20,66","79,84","75,60","70,74","83,24",,,,,,,,,,,,,,,,,
A3,1,759,"21,95","79,89","75,65","70,69","83,65",,,,,,,,,,,,,,,,,
A4,503,"21,66","69,25","66,57","62,39","74,33",,,,,,,,,,,,,,,,,,
A5,169,"20,93","62,22","58,40","53,53","68,75",,,,,,,,,,,,,,,,,,
A6,166,"20,30","63,41","56,53","51,94","63,88",,,,,,,,,,,,,,,,,,
AB2,323,"18,19","62,68","65,39","59,00","75,77",,,,,,,,,,,,,,,,,,
AB3,73,"19,77","63,94","66,24","60,00","80,00",,,,,,,,,,,,,,,,,,
B2,442,"22,11","62,59","65,78","56,93","71,03",,,,,,,,,,,,,,,,,,
B3,47,"20,29","56,59","57,26","55,46","59,33",,,,,,,,,,,,,,,,,,
C2,1,202,"23,69","60,61","62,63","54,45","67,41",,,,,,,,,,,,,,,,,
C3,194,"27,29","58,75","57,53","53,21","66,64",,,,,,,,,,,,,,,,,,
13,672,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Purch_min,Purch_max,,,,,,,,,,,,,,,,,,,
P,1,805,"51,42","24,56","22,76","25,14",,,,,,,,,,,,,,,,,,
O,82,"51,29","24,24","21,55","25,00",,,,,,,,,,,,,,,,,,,
R,20,"51,46","19,28","15,00","24,50",,,,,,,,,,,,,,,,,,,
C,5,"46,65","15,00","15,00","15,00",,,,,,,,,,,,,,,,,,,
U,3,"50,68","15,00","15,00","15,00",,,,,,,,,,,,,,,,,,,
P,1,388,"60,98","23,36","22,26","24,00",,,,,,,,,,,,,,,,,,
O,106,"61,95","23,34","22,14","24,22",,,,,,,,,,,,,,,,,,,
R,13,"62,90","21,83","19,50","23,05",,,,,,,,,,,,,,,,,,,
P,8,448,"74,67","22,73","22,01","25,03",,,,,,,,,,,,,,,,,,
O,2,750,"77,15","23,15","21,77","26,09",,,,,,,,,,,,,,,,,,
R,276,"75,97","23,14","20,50","26,96",,,,,,,,,,,,,,,,,,,
C,49,"74,42","22,99","18,70","26,00",,,,,,,,,,,,,,,,,,,
U,7,"65,96","18,49","15,00","20,50",,,,,,,,,,,,,,,,,,,
S,3,"82,82","20,38","16,50","24,00",,,,,,,,,,,,,,,,,,,
P,3,535,"84,87","21,98","21,58","22,70",,,,,,,,,,,,,,,,,,
O,5,682,"87,15","21,54","21,14","22,27",,,,,,,,,,,,,,,,,,
R,1,056,"88,96","20,12","19,10","21,90",,,,,,,,,,,,,,,,,,
C,71,"90,40","18,25","17,22","21,65",,,,,,,,,,,,,,,,,,,
U,5,"88,72","17,80","15,50","21,65",,,,,,,,,,,,,,,,,,,
S,49,"106,95","20,11","20,05","20,38",,,,,,,,,,,,,,,,,,,
1,093,"137,65","16,59","15,06","18,13",,,,,,,,,,,,,,,,,,,
26,446,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,,,,,,,,,,,,,,,,,,,,,,,,
PIGS,,,,,,,,,,,,,,,,,,,,,,,,
Average56,-,"64,99",kg,20,-,"55,99",kgWeighted,20%,,,,,,,,,,,,,,,,
Weighted,"20%4545,54646,54747,548",,,,,,,,,,,,,,,,,,,,,,,
29,30,31,32,33,34,35Beef,A2,-Sales,Price,2018,2017,,,,,,,,,,,,,
71727374757677,,,,,,,,,,,,,,,,,,,,,,,,
29,30,31,32,33,34,35Lamb,A2,-Sales,Price,2018,2017,,,,,,,,,,,,,
22232425262728,,,,,,,,,,,,,,,,,,,,,,,,
Class,Units,Avg_mass,Avg_purch,Avg_selling,Selling_min,Selling_max,From,2016/08/29,To,2016/09/04,,,,,,,,,,,,,,
Mass,Price,Price,min,max,Beef,A2,-,Sales,Price,,,,,,,,,,,,,,,
CATTLE,,,,,,,,,,,,,,,,,,,,,,,,
A2,14134,261.56,38.45,38.58,35.73,41.94,,,,,,,,,,,,,,,,,,
A3,4796,269.88,38.46,38.99,36.00,40.00,,,,,,,,,,,,,,,,,,
AB2,518,274.49,36.80,36.74,29.50,41.51,,,,,,,,,,,,,,,,,,
AB3,104,289.54,36.23,36.86,34.50,39.90,,,,,,,,,,,,,,,,,,
B2,451,255.50,33.62,33.99,30.00,37.00,,,,,,,,,,,,,,,,,,
B3,88,293.01,33.63,34.04,31.00,36.10,,,,,,,,,,,,,,,,,,
C2,2036,249.57,31.49,31.72,29.00,34.50,,,,,,,,,,,,,,,,,,
C3,668,283.91,31.61,32.08,29.00,34.50,,,,,,,,,,,,,,,,,,
22,795,,,,,,,,,,,,,,,,,,,,,,,
LAMB/SHEEP,Lamb,A2,-,Sales,Price,,,,,,,,,,,,,,,,,,,
A0,227,13.95,51.63,51.46,42.49,57.00,,,,,,,,,,,,,,,,,,
A1,1115,16.44,61.90,61.11,60.07,68.00,,,,,,,,,,,,,,,,,,
A2,14887,20.05,63.83,61.07,55.46,64.45,,,,,,,,,,,,,,,,,,
